track,proj,blk,stk,dist,reg,ten,floor,date,base_sqft,ph_sqft,extra,extra_pct,n_base,base_price,ph_price,base_psf,ph_psf,void_psf,ratio,headline_drop
newsale,FOREST WOODS,17 LORONG LEW LIAN,32,19,North East Region,LH,12,2016-10-08,635,753,118,0.186,9,904240,939000,1424,1246,294,0.2062,-0.1247
newsale,FOREST WOODS,17 LORONG LEW LIAN,33,19,North East Region,LH,12,2017-06-07,1249,1475,226,0.181,4,1694388,1787000,1357,1212,410,0.3019,-0.107
newsale,FOREST WOODS,17 LORONG LEW LIAN,36,19,North East Region,LH,12,2016-10-08,635,753,118,0.186,10,935126,971000,1472,1289,303,0.2058,-0.1248
newsale,FOREST WOODS,17 LORONG LEW LIAN,37,19,North East Region,LH,12,2017-02-20,969,1130,161,0.167,10,1404076,1456000,1449,1288,322,0.2219,-0.1112
newsale,FOREST WOODS,17 LORONG LEW LIAN,38,19,North East Region,LH,12,2018-02-03,926,1098,172,0.186,8,1467470,1475000,1585,1343,44,0.0276,-0.1525
newsale,FOREST WOODS,17 LORONG LEW LIAN,39,19,North East Region,LH,12,2016-10-08,721,840,118,0.164,9,1026088,1060000,1423,1263,286,0.2013,-0.1126
newsale,FOREST WOODS,19 LORONG LEW LIAN,42,19,North East Region,LH,12,2017-07-09,915,1066,151,0.165,9,1274064,1343000,1393,1260,457,0.3285,-0.095
newsale,FOREST WOODS,19 LORONG LEW LIAN,43,19,North East Region,LH,12,2016-10-08,635,753,118,0.186,9,886380,921000,1396,1222,292,0.2095,-0.1242
newsale,FOREST WOODS,19 LORONG LEW LIAN,44,19,North East Region,LH,12,2016-11-06,667,786,118,0.177,10,930848,973000,1395,1238,356,0.2552,-0.1122
newsale,FOREST WOODS,19 LORONG LEW LIAN,45,19,North East Region,LH,12,2016-10-23,1023,1184,161,0.158,7,1390488,1440000,1360,1216,307,0.2255,-0.1056
newsale,FOREST WOODS,19 LORONG LEW LIAN,46,19,North East Region,LH,12,2016-10-08,904,1044,140,0.155,9,1267968,1307000,1402,1252,279,0.1989,-0.1074
newsale,FOREST WOODS,9 LORONG LEW LIAN,01,19,North East Region,LH,12,2016-10-12,657,775,118,0.18,9,935736,977000,1425,1261,348,0.2445,-0.1154
newsale,FOREST WOODS,9 LORONG LEW LIAN,02,19,North East Region,LH,12,2017-11-26,915,1066,151,0.165,9,1275120,1454000,1394,1364,1187,0.8517,-0.021
newsale,FOREST WOODS,9 LORONG LEW LIAN,03,19,North East Region,LH,12,2017-04-25,1249,1475,226,0.181,6,1804784,1889000,1445,1281,373,0.2577,-0.1138
newsale,FOREST WOODS,9 LORONG LEW LIAN,04,19,North East Region,LH,12,2016-10-08,721,840,118,0.164,10,1093536,1128000,1516,1344,291,0.192,-0.1139
newsale,FOREST WOODS,9 LORONG LEW LIAN,07,19,North East Region,LH,12,2016-10-08,936,1130,194,0.207,7,1277136,1329000,1364,1176,268,0.1963,-0.1378
newsale,FOREST WOODS,9 LORONG LEW LIAN,08,19,North East Region,LH,12,2017-02-17,743,850,108,0.145,9,1056640,1084000,1423,1275,254,0.1787,-0.104
newsale,FOREST WOODS,9A LORONG LEW LIAN,09,19,North East Region,LH,12,2017-04-29,904,1076,172,0.19,10,1302414,1387000,1440,1289,491,0.341,-0.1054
newsale,FOREST WOODS,9A LORONG LEW LIAN,11,19,North East Region,LH,12,2017-02-26,980,1152,172,0.176,10,1385962,1431000,1415,1242,261,0.1848,-0.1219
newsale,FOREST WOODS,9A LORONG LEW LIAN,12,19,North East Region,LH,12,2016-11-18,980,1152,172,0.176,10,1366930,1416000,1396,1229,285,0.2042,-0.119
